epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.174,1.7612,1.28536,1.32729,0.684,0.61469,0.65412,0.40196,1.30373,0.86905,1.05796,0.000332973,0.000332973,0.000332973
2,512.322,1.55144,0.99285,1.20481,0.67041,0.64753,0.69063,0.42022,1.29882,0.84523,1.0569,0.00065971,0.00065971,0.00065971
3,727.995,1.52662,0.96981,1.19981,0.7476,0.64293,0.72743,0.43436,1.24046,0.7915,1.04115,0.000979847,0.000979847,0.000979847
4,931.971,1.50088,0.94114,1.17814,0.72078,0.66907,0.72906,0.45143,1.22283,0.7756,1.0328,0.0009703,0.0009703,0.0009703
5,1146.96,1.48522,0.91868,1.1767,0.7641,0.68816,0.75426,0.46325,1.23045,0.77152,1.03627,0.0009604,0.0009604,0.0009604
6,1379.56,1.46412,0.90383,1.16583,0.71079,0.63844,0.71125,0.43198,1.24285,0.84684,1.04194,0.0009505,0.0009505,0.0009505
7,1600.19,1.45216,0.89516,1.16287,0.80282,0.661,0.75229,0.47061,1.19253,0.7456,1.02318,0.0009406,0.0009406,0.0009406
8,1822.44,1.44335,0.88539,1.16065,0.81899,0.69225,0.78411,0.48809,1.21379,0.72571,1.02534,0.0009307,0.0009307,0.0009307
9,2036.4,1.42563,0.86411,1.15233,0.77187,0.66458,0.74836,0.4564,1.2247,0.74622,1.0301,0.0009208,0.0009208,0.0009208
10,2247.68,1.41778,0.85922,1.14701,0.79804,0.69558,0.76527,0.48076,1.19216,0.73356,1.02242,0.0009109,0.0009109,0.0009109
11,2459.73,1.41283,0.85119,1.14495,0.78173,0.72687,0.79338,0.50195,1.1764,0.69981,1.01436,0.000901,0.000901,0.000901
12,2673.78,1.40322,0.8423,1.14119,0.77403,0.69368,0.76298,0.48323,1.16102,0.70386,1.00828,0.0008911,0.0008911,0.0008911
13,2886.74,1.39686,0.84076,1.1388,0.78408,0.67242,0.75719,0.46565,1.24399,0.75836,1.03549,0.0008812,0.0008812,0.0008812
14,3103.09,1.38888,0.83089,1.13776,0.79954,0.72867,0.78513,0.50099,1.17145,0.69911,1.01054,0.0008713,0.0008713,0.0008713
15,3311.25,1.3873,0.82881,1.13538,0.78596,0.70832,0.77789,0.49559,1.15642,0.71101,1.01173,0.0008614,0.0008614,0.0008614
16,3516.91,1.38391,0.82321,1.13435,0.81304,0.7029,0.78719,0.50323,1.16045,0.69655,1.01144,0.0008515,0.0008515,0.0008515
17,3730.45,1.37919,0.81703,1.13063,0.81092,0.71885,0.79727,0.51135,1.14424,0.68266,1.00645,0.0008416,0.0008416,0.0008416
18,3941.56,1.3674,0.81246,1.12548,0.78812,0.71677,0.79373,0.50694,1.15016,0.68031,1.00709,0.0008317,0.0008317,0.0008317
19,4152.82,1.36626,0.81108,1.12484,0.79843,0.74793,0.80311,0.50699,1.16978,0.67164,1.01302,0.0008218,0.0008218,0.0008218
20,4365.09,1.36306,0.80337,1.12399,0.82916,0.70283,0.7946,0.50694,1.16155,0.68675,1.01229,0.0008119,0.0008119,0.0008119
21,4567.19,1.35348,0.7966,1.11865,0.8075,0.72968,0.81319,0.51244,1.16157,0.67048,1.00366,0.000802,0.000802,0.000802
22,4769.87,1.35177,0.79259,1.11648,0.81514,0.71649,0.80782,0.51452,1.13662,0.66305,0.9999,0.0007921,0.0007921,0.0007921
23,4971.28,1.34167,0.78833,1.11307,0.82739,0.71637,0.82263,0.52839,1.12254,0.65701,0.99616,0.0007822,0.0007822,0.0007822
24,5181.45,1.34293,0.78624,1.1147,0.83571,0.70011,0.803,0.51616,1.13841,0.66838,1.00101,0.0007723,0.0007723,0.0007723
25,5393.12,1.34005,0.78347,1.11234,0.82772,0.73624,0.81269,0.52651,1.10981,0.65003,0.99094,0.0007624,0.0007624,0.0007624
26,5606.26,1.3349,0.78224,1.10925,0.82949,0.7401,0.82511,0.53167,1.12559,0.65057,0.99645,0.0007525,0.0007525,0.0007525
27,5817.82,1.32662,0.77722,1.10522,0.80267,0.75343,0.81303,0.52222,1.12382,0.64681,0.99833,0.0007426,0.0007426,0.0007426
28,6026.04,1.33168,0.77595,1.10862,0.80578,0.75371,0.82352,0.53,1.13475,0.65439,1.00323,0.0007327,0.0007327,0.0007327
29,6235.61,1.32086,0.77192,1.10289,0.81167,0.74767,0.81906,0.53017,1.12082,0.65103,0.99218,0.0007228,0.0007228,0.0007228
30,6448.48,1.32322,0.7731,1.10448,0.79025,0.74836,0.80546,0.52295,1.12811,0.6539,0.99726,0.0007129,0.0007129,0.0007129
31,6657.43,1.31911,0.76669,1.10238,0.84881,0.73805,0.82677,0.53914,1.10764,0.6392,0.99261,0.000703,0.000703,0.000703
32,6870.17,1.3135,0.76703,1.10018,0.82064,0.74787,0.82565,0.53989,1.10141,0.634,0.9882,0.0006931,0.0006931,0.0006931
33,7082.52,1.31637,0.76071,1.10098,0.81985,0.73905,0.82257,0.52853,1.12298,0.63946,0.99481,0.0006832,0.0006832,0.0006832
34,7292.14,1.30762,0.76099,1.0993,0.83531,0.72542,0.8297,0.53711,1.10326,0.63388,0.99011,0.0006733,0.0006733,0.0006733
35,7495.49,1.30202,0.75264,1.09533,0.82891,0.75653,0.82877,0.53277,1.11396,0.63271,0.99017,0.0006634,0.0006634,0.0006634
36,7696.42,1.2997,0.75404,1.09329,0.80137,0.76999,0.83314,0.53798,1.09272,0.62327,0.98394,0.0006535,0.0006535,0.0006535
37,7896.63,1.29954,0.75123,1.09248,0.82015,0.75915,0.82678,0.53797,1.10418,0.6347,0.99037,0.0006436,0.0006436,0.0006436
38,8098.14,1.29434,0.74905,1.09281,0.8102,0.78015,0.82576,0.53469,1.09143,0.62697,0.98264,0.0006337,0.0006337,0.0006337
39,8298.83,1.29732,0.75005,1.09384,0.83806,0.73616,0.83141,0.54382,1.10078,0.62353,0.98741,0.0006238,0.0006238,0.0006238
40,8499.07,1.29261,0.74582,1.09268,0.78305,0.76895,0.82706,0.53948,1.10673,0.62836,0.98745,0.0006139,0.0006139,0.0006139
41,8698.09,1.29026,0.74425,1.09392,0.79255,0.78468,0.82993,0.54098,1.08413,0.62315,0.98238,0.000604,0.000604,0.000604
42,8900.71,1.28978,0.73918,1.08903,0.83351,0.73351,0.8242,0.53783,1.10522,0.62587,0.99164,0.0005941,0.0005941,0.0005941
43,9104.57,1.27993,0.73725,1.08879,0.84079,0.76009,0.83475,0.54712,1.09705,0.62494,0.98765,0.0005842,0.0005842,0.0005842
44,9306.5,1.28559,0.73184,1.08733,0.86295,0.72685,0.8337,0.55467,1.07535,0.61405,0.97989,0.0005743,0.0005743,0.0005743
45,9508.98,1.27934,0.73466,1.08581,0.84969,0.76238,0.8391,0.54901,1.09523,0.61595,0.98644,0.0005644,0.0005644,0.0005644
46,9711.57,1.28049,0.73242,1.08342,0.8079,0.77819,0.83277,0.55356,1.08371,0.61239,0.98129,0.0005545,0.0005545,0.0005545
47,9914.6,1.27925,0.7349,1.08876,0.80013,0.78641,0.83438,0.55476,1.08091,0.61054,0.9781,0.0005446,0.0005446,0.0005446
48,10119.6,1.27092,0.72618,1.0836,0.82611,0.77327,0.83798,0.55094,1.08408,0.6118,0.98343,0.0005347,0.0005347,0.0005347
49,10321.7,1.26798,0.72347,1.08036,0.82968,0.77051,0.83955,0.55402,1.08462,0.60677,0.98173,0.0005248,0.0005248,0.0005248
50,10547.9,1.26858,0.72456,1.08079,0.85098,0.76283,0.85,0.55642,1.07623,0.60729,0.97735,0.0005149,0.0005149,0.0005149
51,10774.9,1.26638,0.72374,1.08247,0.81727,0.78581,0.83806,0.55415,1.08012,0.60629,0.98004,0.000505,0.000505,0.000505
52,11000.6,1.26018,0.72188,1.07638,0.84939,0.74197,0.83285,0.55293,1.08411,0.611,0.97874,0.0004951,0.0004951,0.0004951
53,11225.8,1.26453,0.72182,1.0796,0.81798,0.77818,0.83889,0.55654,1.08395,0.60754,0.98012,0.0004852,0.0004852,0.0004852
54,11447.8,1.2572,0.71842,1.07636,0.83543,0.76583,0.83857,0.55483,1.07918,0.6015,0.97737,0.0004753,0.0004753,0.0004753
55,11661.6,1.26061,0.71715,1.07596,0.79233,0.79469,0.84028,0.55891,1.07507,0.59806,0.97652,0.0004654,0.0004654,0.0004654
56,11877,1.2563,0.7129,1.07593,0.82074,0.77735,0.84122,0.5579,1.08472,0.6024,0.9813,0.0004555,0.0004555,0.0004555
57,12098.5,1.25458,0.71128,1.07543,0.81331,0.77718,0.83396,0.55256,1.08648,0.60106,0.97961,0.0004456,0.0004456,0.0004456
