epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.812,1.60662,2.32324,1.34664,0.54925,0.42436,0.4511,0.20678,1.95516,2.10219,1.43769,0.000277446,0.000277446,0.000277446
2,537.697,1.5239,1.6533,1.32826,0.60034,0.47244,0.50536,0.22879,1.94806,2.01549,1.52036,0.000548243,0.000548243,0.000548243
3,788.751,1.49534,1.50141,1.32534,0.59745,0.48515,0.52449,0.28641,1.71238,1.69407,1.43508,0.000812168,0.000812168,0.000812168
4,1039.58,1.45201,1.39493,1.30107,0.67518,0.50821,0.57913,0.31144,1.70067,1.56502,1.40645,0.000802075,0.000802075,0.000802075
5,1291.84,1.41228,1.30105,1.27445,0.66043,0.523,0.58235,0.32172,1.63358,1.48971,1.38165,0.000791767,0.000791767,0.000791767
6,1541.93,1.37881,1.23445,1.25686,0.70727,0.53589,0.60472,0.33364,1.65925,1.38401,1.36338,0.000781458,0.000781458,0.000781458
7,1795.58,1.34765,1.18345,1.23835,0.69282,0.55185,0.62106,0.35448,1.61052,1.35877,1.32587,0.00077115,0.00077115,0.00077115
8,2049.27,1.32615,1.14408,1.22336,0.70826,0.57586,0.64631,0.37165,1.54352,1.29948,1.30752,0.000760841,0.000760841,0.000760841
9,2300.23,1.31125,1.11976,1.21417,0.73511,0.57498,0.65639,0.37415,1.58291,1.24439,1.31305,0.000750533,0.000750533,0.000750533
10,2551.48,1.29236,1.08931,1.20648,0.73883,0.55533,0.64116,0.36905,1.56122,1.21614,1.30976,0.000740225,0.000740225,0.000740225
11,2801.29,1.27313,1.06288,1.19825,0.75393,0.58456,0.67405,0.39191,1.52405,1.19298,1.28961,0.000729916,0.000729916,0.000729916
12,3053.95,1.25971,1.04603,1.19021,0.72356,0.59899,0.66683,0.38861,1.5047,1.17262,1.28497,0.000719608,0.000719608,0.000719608
13,3306.06,1.24802,1.02906,1.1826,0.75285,0.5808,0.66827,0.39194,1.49879,1.18092,1.28266,0.000709299,0.000709299,0.000709299
14,3558,1.23545,1.00745,1.17817,0.76527,0.5905,0.67607,0.39997,1.4989,1.13869,1.284,0.000698991,0.000698991,0.000698991
15,3807.73,1.21338,0.97759,1.16367,0.76848,0.61252,0.69268,0.40642,1.51028,1.1217,1.2627,0.000688683,0.000688683,0.000688683
16,4057.25,1.21265,0.97507,1.16727,0.78114,0.59939,0.69365,0.40647,1.50979,1.12128,1.28046,0.000678374,0.000678374,0.000678374
17,4309.48,1.20548,0.96249,1.16125,0.7263,0.61241,0.68361,0.41165,1.46133,1.11091,1.26627,0.000668066,0.000668066,0.000668066
18,4561.57,1.19415,0.94312,1.15397,0.76687,0.59165,0.68834,0.41444,1.47283,1.10794,1.26259,0.000657758,0.000657758,0.000657758
19,4813.71,1.19283,0.93845,1.14909,0.78993,0.61043,0.69529,0.41368,1.4788,1.09619,1.24659,0.000647449,0.000647449,0.000647449
20,5065.75,1.17629,0.92478,1.14182,0.7799,0.60956,0.69865,0.42462,1.45264,1.06305,1.24898,0.000637141,0.000637141,0.000637141
21,5318.09,1.17225,0.91533,1.13779,0.77772,0.62408,0.71296,0.42894,1.44578,1.06086,1.23749,0.000626832,0.000626832,0.000626832
22,5570.02,1.16858,0.90601,1.13641,0.75241,0.63627,0.70112,0.42332,1.4492,1.04791,1.23829,0.000616524,0.000616524,0.000616524
23,5822.04,1.15481,0.89466,1.1319,0.80457,0.60731,0.70254,0.42351,1.43862,1.03881,1.2336,0.000606216,0.000606216,0.000606216
24,6072,1.14724,0.88843,1.13056,0.77936,0.64171,0.71867,0.44131,1.40817,1.02698,1.22467,0.000595907,0.000595907,0.000595907
25,6324.87,1.14533,0.87921,1.12877,0.77699,0.6162,0.69752,0.41725,1.4652,1.05096,1.24426,0.000585599,0.000585599,0.000585599
26,6577.58,1.13713,0.86633,1.12321,0.79412,0.61857,0.71141,0.42441,1.45581,1.03111,1.24011,0.000575291,0.000575291,0.000575291
